FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas,Fw,GasLiquidRatio
221.31567,4585.296,57,58.82775,2901.9448,103.76863,115.815216,432.2612,0,0,1451.0125,3462.677,0.82388484,0.7047,0.00016767133
221.33647,4586.545,57,58.7608,2902.5312,103.7654,115.792786,439.56714,0,0,1420.6871,3390.309,0.80666614,0.70470005,0.00016767133
222.39816,4591.0107,57,58.65629,2903.0203,103.76081,115.7557,446.54422,0,0,1423.2189,3396.3506,0.8081036,0.7047,0.00016767133
224.8344,4596.52,57,58.589703,2903.8967,103.76276,115.73298,453.10608,0,0,1416.8314,3381.108,0.80447686,0.7047,0.00016767133
228.32468,4602.7173,57,58.518154,2904.6897,103.76443,115.72302,460.3714,0,0,1406.4548,3356.3452,0.79858506,0.70470005,0.00016767134
228.27667,4608.199,57,58.462666,2905.7842,103.76305,115.7014,466.61285,0,0,1413.5162,3373.1965,0.8025945,0.7047,0.00016767133
228.39015,4614.1196,57,58.415318,2906.636,103.76185,115.7,472.85907,0,0,1391.6025,3320.902,0.7901519,0.7047,0.00016767131
209.76384,4105.1387,40.17143,55.964684,3036.3774,104.11172,113.35198,345.05765,0,0,1376.7772,3285.523,0.78173405,0.7047,0.00016767131
208.61559,4942.18,26.21134,55.240353,3125.7898,235.3636,229.42296,297.15146,0,0,1429.5354,3411.4246,0.8116902,0.7047,0.00016767133
228.94705,4643.3296,57,58.714634,2908.4448,103.814316,115.830956,462.27295,0,0,1433.1885,3420.142,0.8137644,0.7047,0.00016767133
229.85703,4634.413,57,58.570934,2908.3413,103.76645,115.762665,475.59662,0,0,1399.429,3339.5789,0.7945958,0.7047,0.00016767134
229.832,4635.8545,57,58.46802,2909.7021,103.76466,115.7407,483.40015,0,0,1382.2587,3298.604,0.7848465,0.7047,0.00016767133
230.10677,4640.13,57,58.33894,2911.0994,103.76666,115.702614,491.06097,0,0,1364.5565,3256.3596,0.7747952,0.7047,0.00016767134
231.827,4644.703,57,58.242966,2912.1228,103.76547,115.68632,498.1083,0,0,1334.3888,3184.368,0.75766593,0.7047,0.00016767133
231.04953,4649.529,57,58.151527,2913.1233,103.767975,115.671425,504.5617,0,0,1339.9893,3197.7327,0.7608459,0.70470005,0.00016767134
229.25996,4655.259,57,58.0989,2915.369,103.76677,115.66118,510.8667,0,0,1301.1309,3105.0017,0.7387821,0.7047,0.00016767131
228.81374,4661.962,57,58.04251,2918.7656,103.76477,115.65693,516.9282,0,0,1315.0378,3138.1887,0.7466784,0.7047,0.00016767133
225.39563,4668.089,57,57.972317,2922.1157,103.7616,115.650406,522.4538,0,0,1327.6163,3168.2063,0.7538206,0.7047,0.00016767133
225.44795,4661.687,53.567307,59.248066,2926.4985,103.87207,115.56094,506.3355,0,0,1261.9987,3011.617,0.7165628,0.7047,0.00016767133
226.95297,4676.105,57,57.92777,2924.7107,103.7685,115.649025,526.312,0,0,1214.1273,2792.893,0.6893815,0.69699997,0.00017204341
227.71884,4678.975,57,57.826267,2925.7761,103.77153,115.62702,533.67633,0,0,1266.1122,2912.4753,0.7188985,0.69699997,0.00017204342
228.62029,4682.318,57,57.718124,2926.7764,103.77071,115.614044,539.8515,0,0,1244.1292,2861.907,0.7064165,0.69699997,0.00017204342
228.23022,4689.168,55.73793,56.675884,2933.41,103.7683,115.52214,481.92844,0,0,1245.3094,2864.6223,0.7070867,0.69699997,0.00017204342
227.86134,4698.1973,57,57.80311,2929.515,103.77157,115.67511,531.82,0,0,1260.1276,2898.7087,0.7155004,0.69699997,0.00017204341
227.9732,4694.0215,57,57.66367,2931.2192,103.77026,115.65279,543.6074,0,0,1203.4064,2768.2312,0.6832941,0.6969999,0.00017204342
228.4866,4695.4663,57,57.55301,2932.5693,103.77176,115.63585,551.3998,0,0,1196.8846,2753.2292,0.6795911,0.69699997,0.00017204342
229.1898,4697.4087,57,57.381428,2933.2668,103.76456,115.60751,556.7387,0,0,1211.867,2787.6936,0.688098,0.69699997,0.00017204341
229.02342,4699.315,57,57.262196,2934.2786,103.76027,115.57767,561.91064,0,0,1209.0304,2781.1685,0.68648744,0.69699997,0.00017204342
