date,count
2016-03-15,131696
2016-03-16,133114
2016-03-17,129733
2016-03-18,122611
2016-03-19,84255
2016-03-20,85015
2016-03-21,126151
2016-03-22,130408
2016-03-23,133237
2016-03-24,121908
2016-03-25,107827
2016-03-26,76663
2016-03-27,77760
2016-03-28,109242
2016-03-29,131546
2016-03-30,133345
2016-03-31,127978
2016-04-01,121168
2016-04-02,85936
2016-04-03,84740
2016-04-04,123031
2016-04-05,130130
2016-04-06,132737
2016-04-07,132840
2016-04-08,123392
2016-04-09,82635
2016-04-10,85295
2016-04-11,130763
2016-04-12,138743
2016-04-13,133903
2016-04-14,130106
2016-04-15,124062
2016-04-16,81797
2016-04-17,90068
2016-04-18,130594
2016-04-19,134599
2016-04-20,134930
2016-04-21,129504
2016-04-22,122186
2016-04-23,80781
2016-04-24,85481
2016-04-25,129296
2016-04-26,136562
2016-04-27,131701
2016-04-28,130370
2016-04-29,122570
2016-04-30,79294
2016-05-01,77549
2016-05-02,117536
2016-05-03,150680
2016-05-04,127350
2016-05-05,119457
2016-05-06,116631
2016-05-07,78378
2016-05-08,76187
2016-05-09,121368
2016-05-10,133066
2016-05-11,132744
2016-05-12,127683
2016-05-13,121637
2016-05-14,78503
2016-05-15,81422
2016-05-16,117619
2016-05-17,129902
2016-05-18,141789
2016-05-19,129485
2016-05-20,124842
2016-05-21,77406
2016-05-22,80744
2016-05-23,120364
2016-05-24,129481
2016-05-25,128760
2016-05-26,124042
2016-05-27,116211
2016-05-28,71447
2016-05-29,75370
2016-05-30,110793
2016-05-31,125284
2016-06-01,127408
2016-06-02,125096
2016-06-03,118616
2016-06-04,73294
2016-06-05,77180
2016-06-06,119698
2016-06-07,126458
2016-06-08,126683
2016-06-09,120589
2016-06-10,113209
2016-06-11,73233
2016-06-12,77877
2016-06-13,114861
2016-06-14,125211
2016-06-15,126913
2016-06-16,124199
2016-06-17,114655
2016-06-18,74206
2016-06-19,72880
2016-06-20,115185
2016-06-21,124257
2016-06-22,124174
2016-06-23,122192
2016-06-24,107849
2016-06-25,70708
2016-06-26,70785
2016-06-27,113242
2016-06-28,120647
2016-06-29,120664
2016-06-30,119192
2016-07-01,106963
2016-07-02,66892
2016-07-03,65562
2016-07-04,99390
2016-07-05,112064
2016-07-06,116297
2016-07-07,114722
2016-07-08,107209
2016-07-09,65417
2016-07-10,66251
2016-07-11,109351
2016-07-12,120527
2016-07-13,116556
2016-07-14,114748
2016-07-15,106606
2016-07-16,65603
2016-07-17,69382
2016-07-18,110224
2016-07-19,115130
2016-07-20,113908
2016-07-21,114684
2016-07-22,106860
2016-07-23,66778
2016-07-24,66135
2016-07-25,107083
2016-07-26,115540
2016-07-27,106091
2016-07-28,103927
2016-07-29,96523
2016-07-30,56372
2016-07-31,58372
2016-08-01,96933
2016-08-02,102829
2016-08-03,100967
2016-08-04,105825
2016-08-05,104413
2016-08-06,62689
2016-08-07,65773
2016-08-08,106851
2016-08-09,111906
2016-08-10,113336
2016-08-11,112902
2016-08-12,103257
2016-08-13,63735
2016-08-14,65458
2016-08-15,98811
2016-08-16,112519
2016-08-17,112121
2016-08-18,115943
2016-08-19,113546
2016-08-20,70364
2016-08-21,71165
2016-08-22,112490
2016-08-23,116420
2016-08-24,117286
2016-08-25,115387
2016-08-26,114222
2016-08-27,68751
2016-08-28,71417
2016-08-29,111345
2016-08-30,119774
2016-08-31,117461
2016-09-01,124450
2016-09-02,104063
2016-09-03,65545
2016-09-04,70061
2016-09-05,110090
2016-09-06,118595
2016-09-07,119405
2016-09-08,115601
2016-09-09,110856
2016-09-10,67898
2016-09-11,71727
2016-09-12,111647
2016-09-13,121311
2016-09-14,117433
2016-09-15,113011
2016-09-16,107133
2016-09-17,69876
2016-09-18,76861
2016-09-19,207539
2016-09-20,211907
2016-09-21,115586
2016-09-22,114577
2016-09-23,108476
2016-09-24,69383
2016-09-25,74402
2016-09-26,112116
2016-09-27,117427
2016-09-28,117981
2016-09-29,118991
2016-09-30,112222
2016-10-01,75117
2016-10-02,72906
2016-10-03,107800
2016-10-04,116034
2016-10-05,117316
2016-10-06,115254
2016-10-07,107448
2016-10-08,72432
2016-10-09,76784
2016-10-10,110522
2016-10-11,119741
2016-10-12,119751
2016-10-13,118099
2016-10-14,113115
2016-10-15,73671
2016-10-16,80561
2016-10-17,125105
2016-10-18,129188
2016-10-19,128512
2016-10-20,123334
2016-10-21,109494
2016-10-22,79920
2016-10-23,83321
2016-10-24,122993
2016-10-25,131497
2016-10-26,129198
2016-10-27,124429
2016-10-28,112867
2016-10-29,74637
2016-10-30,79427
2016-10-31,117486
2016-11-01,121302
2016-11-02,126222
2016-11-03,126317
2016-11-04,117295
2016-11-05,81645
2016-11-06,85645
2016-11-07,124080
2016-11-08,129317
2016-11-09,111609
2016-11-10,119155
2016-11-11,107225
2016-11-12,75818
2016-11-13,82806
2016-11-14,125930
2016-11-15,130239
2016-11-16,128174
2016-11-17,126007
2016-11-18,116300
2016-11-19,77548
2016-11-20,84942
2016-11-21,122578
2016-11-22,126893
2016-11-23,124738
2016-11-24,107507
2016-11-25,98181
2016-11-26,75813
2016-11-27,80099
2016-11-28,124269
2016-11-29,131038
2016-11-30,127829
2016-12-01,126982
2016-12-02,119518
2016-12-03,75970
2016-12-04,80522
2016-12-05,121174
2016-12-06,127706
2016-12-07,125967
2016-12-08,128137
2016-12-09,117651
2016-12-10,78974
2016-12-11,90882
2016-12-12,126016
2016-12-13,129544
2016-12-14,128731
2016-12-15,126021
2016-12-16,118642
2016-12-17,73489
2016-12-18,78138
2016-12-19,120337
2016-12-20,124447
2016-12-21,119749
2016-12-22,114376
2016-12-23,93417
2016-12-24,60717
2016-12-25,53888
2016-12-26,72759
2016-12-27,91326
2016-12-28,96846
2016-12-29,98411
2016-12-30,92818
2016-12-31,67512
2017-01-01,63456
2017-01-02,92893
2017-01-03,117040
2017-01-04,123662
2017-01-05,121671
2017-01-06,114940
2017-01-07,83090
2017-01-08,93893
2017-01-09,125326
2017-01-10,134202
2017-01-11,130338
2017-01-12,129583
2017-01-13,121092
2017-01-14,84258
2017-01-15,89433
2017-01-16,121649
2017-01-17,130872
2017-01-18,136124
2017-01-19,133758
2017-01-20,122623
2017-01-21,87673
2017-01-22,96641
2017-01-23,128802
2017-01-24,131772
2017-01-25,133356
2017-01-26,123212
2017-01-27,114953
2017-01-28,79578
2017-01-29,86420
2017-01-30,121705
2017-01-31,129225
2017-02-01,126556
2017-02-02,131286
2017-02-03,124143
2017-02-04,88791
2017-02-05,91020
2017-02-06,127166
2017-02-07,137594
2017-02-08,137727
2017-02-09,134871
2017-02-10,130450
2017-02-11,89486
2017-02-12,96622
2017-02-13,133135
2017-02-14,134498
2017-02-15,133964
2017-02-16,139425
2017-02-17,131641
2017-02-18,89920
2017-02-19,93986
2017-02-20,131653
2017-02-21,140788
2017-02-22,143426
2017-02-23,136914
2017-02-24,131230
2017-02-25,90745
2017-02-26,95062
2017-02-27,133871
2017-02-28,137251
2017-03-01,137950
2017-03-02,136591
2017-03-03,127809
2017-03-04,86803
2017-03-05,94917
2017-03-06,135391
2017-03-07,140659
2017-03-08,136428
2017-03-09,137962
2017-03-10,136395
2017-03-11,89428
2017-03-12,94052
2017-03-13,134959
