Date,Qo,Qg,Qw ,Pwh,Twh,Pwf
43682,446.1038,3837,2551.39,170,90,1708
43683,533.7863,3827,3176.22,174,90,1706
43684,446.0863,3818,2616.99,175,90,1703
43685,458.9702,3809,2750.02,168,90,1701
43686,417.1156,3796,2843.76,174,90,1698
43687,445.8834,3791,2948.3,169,90,1695
43688,418.3621,3776,2808.83,171,90,1692
43689,359.3287,3780,2377.45,166,90,1689
43690,500.4147,3742,3336.7,171,90,1689
43691,443.6971,3761,3002.57,175,90,1684
43692,418.9066,3744,2769.42,166,90,1682
43693,441.7532,3739,2973.08,172,90,1678
43694,411.1566,3733,2691.56,168,90,1678
43695,423.0009,3719,2907.4,171,90,1675
43696,362.0907,3728,2412.09,168,90,1672
43697,473.9992,3710,3145.66,168,90,1670
43698,549.2088,3705,3025.45,166,90,1667
43699,419.5456,3703,2791.53,158,90,1665
43700,398.8101,3712,2669.42,165,90,1665
43701,386.2062,3707,2623.81,164,90,1659
43702,438.5603,3699,2930.56,164,90,1657
43703,411.1757,3631,2741.66,178,90,1659
43704,410.1763,3675,2850.79,162,90,1654
43705,354.0269,3671,2438.29,161,90,1650
43706,423.5679,3665,2805.82,163,90,1648
43707,413.8829,3666,2709.81,165,90,1645
43708,389.0864,3657,2576.38,178,90,1643
43709,445.6663,3633,2894.63,160,90,1642
43710,385.1627,3622,2400.12,170,90,1640
43711,415.4764,3616,2815.83,164,90,1639
43712,408.0076,3614,2700.42,166,90,1636
43713,384.3374,3606,2561.09,157,90,1633
43714,411.4617,3601,2798.98,161,90,1632
43715,391.6671,3600,2692.22,150,90,1629
43716,567.0403,3604,2789.95,156,90,1626
43717,280.6209,3568,1893.91,162,90,1625
43729,921.2061,7006,3610.3,244,90,2184
43733,456.6526,2704,2963.07,314,90,2184
43737,572.7957,4049,3912.39,189,90,1581
43739,536.0393,3951,3732.9,190,90,1571
43740,449.0548,4135,3129.22,192,90,1552
43741,488.2691,4097,3509.4,188,90,1540
43742,442.9659,4101,3126.05,195,90,1532
43743,465.2128,4111,3313.21,192,90,1524
43744,483.9657,4110,3454.12,190,90,1518
43745,492.9045,4103,2648.89,190,90,1511
43746,534.485,4084,3876.06,194,90,1507
43747,487.4801,4087,3606.69,184,90,1501
43748,400.9616,4075,2858.95,191,90,1493
43749,384.8592,4013,2901.74,183,90,1492
43750,414.578,4023,3105.7,189,90,1489
43751,454.1207,3962,3323.2,180,90,1485
43752,334.7732,4014,2556.56,180,90,1485
43753,474.0533,3929,3446.88,190,90,1498
43754,373.6867,3937,2835.57,188,90,1474
43758,425.1191,3919,3163.91,185,90,1462
43761,321.191,3859,2549.9,190,90,1462
43769,374.8223,863,2524.78,216,90,1462
43772,480.9172,3985,2900.46,198,90,1459
43773,368.5692,3991,2508.76,193,90,1456
43774,507.9732,3731,3179.62,185,90,1456
43778,351.8344,3685,2719.47,180,90,1442
43779,398.4325,3642,2867.67,173,90,1441
43782,335.8621,3695,2551.36,176,90,1430
43786,314.5285,3965,2580.59,215,90,1435
43787,386.5258,4082,2535.32,183,90,1412
43795,334.2849,3548,2624.32,176,90,1398
43796,309.6413,3540,2303.2,177,90,1396
43797,379.8367,3452,3023.83,184,90,1402
43798,317.6769,3609,2387.36,165,90,1386
43799,346.6474,3632,2704.94,165,90,1380
43800,337.5646,3537,2634.02,157,90,1384
43801,278.4467,3622,2100.1,165,90,1375
43803,252.9364,67,1972.95,188,90,1604
43804,357.4569,5179,2719.75,157,90,1449
43805,384.9387,3562,2735.41,143,90,1409
43806,280.0229,3433,2588.06,154,90,1402
43807,331.8649,3413,2581.81,146,90,1395
43808,347.238,3454,2666.57,145,90,1386
43809,369.6831,3469,2921.84,157,90,1380
43810,346.1533,3473,2710.44,140,90,1375
43813,498.7748,3494,2619.48,149,90,1365
43814,337.9312,3500,2752.98,152,90,1360
43815,215.7993,3534,2196.37,142,90,1354
43817,42.9077,3417,2925.03,157,90,1362
43818,346.3085,3402,2552.53,152,90,1360
43819,281.3066,3420,2258.32,162,90,1360
43820,304.0283,3339,2353.61,153,90,1371
43822,222.0273,3347,1747.86,150,90,1362
43824,342.7761,3332,2683.7,156,90,1355
43828,589.9041,3287,2387.51,158,90,1351
43829,371.5186,3238,1938.41,154,90,1355
43830,563.7503,3283,2631.83,149,90,1351
43831,304.4268,3267,2404.29,144,90,1353
43839,194.4712,32,1611.78,182,90,1588
43843,308.2048,3490,2249.84,144,90,1588
43854,331.1548,3232,2189.83,156,90,1313
43861,273.9293,2077,2217.06,176,90,1595
43862,179.5011,4168,1388.43,83,90,1536
43864,126.7435,3,973.82,244,90,1556
43867,275.345,3315,2140.09,160,90,1558
43868,307.4058,3353,2337.07,161,90,1314
43870,297.1434,3325,2331.83,162,90,1306
43877,291.8399,4038,2265.93,152,90,1303
43878,273.9229,3668,2251.99,150,90,1408
43879,191.2059,3682,802.82,870,90,1288
43887,273.6041,2934,2089.49,145,90,1285
43896,228.6821,2925,1837.69,144,90,1289
43899,227.0733,2960,1736.79,142,90,1289
43915,287.7994,2937,2223.44,157,90,1289
43920,5.037,4,12.54,104,90,1289
43927,288.4546,2899,2022.56,132,90,1289
43929,282.2129,2907,2024.22,139,90,1289
43935,194.0386,2816,1610.43,132,90,1289
43941,237.1714,2720,1686.57,131,90,1289
43942,220.5918,2783,1526,131,90,1289
43944,243.124,2785,1684.34,129,90,1240
43945,237.0756,2750,1612.79,139,90,1240
43949,76.6354,2576,543.4,86,90,1247
43955,163.3563,154,714.17,484,90,1478
43956,365.0546,5245,1896.57,194,90,1436
43957,340.2423,4089,2144.72,194,90,1314
43958,301.8576,3057,2610.23,193,90,1301
43959,259.0451,2839,1611.84,192,90,1295
43960,234.5022,2679,1620.07,140,90,1299
43961,246.9033,2656,1714.35,140,90,1292
43962,237.7368,2586,1682.56,140,90,1292
43963,217.0083,2615,1580.03,143,90,1288
43964,198.5247,2631,1564.6,143,90,1279
43965,206.4502,2580,1711.2,143,90,1278
43966,198.0669,2599,1396.92,181,90,1275
43967,218.4743,2618,1579.06,123,90,1268
43968,203.5856,2596,1628.4,124,90,1266
43969,53.1201,2059,239.79,90,90,1278
43975,251.7559,2619,1698.3,135,90,1262
43976,212.756,2626,1586.84,134,90,1256
43977,271.9489,2631,1882.17,132,90,1252
43978,224.3634,2539,1525.28,131,90,1262
43979,224.7868,2635,1449.92,133,90,1250
